Year,Actor,Role,Movie,Link, Winner,Ethnicity
2009,Colin Firt,George Falconer,A Single Man,https://en.wikipedia.org//wiki/A_Single_Man,False,"['English', 'Scottish', 'UlsterScotsNorthern', 'Irish']"
2009,Morgan Freema,Nelson Mandela,Invictus,https://en.wikipedia.org//wiki/Invictus_(film),False,"['AfricanAmerican', 'English']"
2009,Jeremy Renne,SFC William James,The Hurt Locker,https://en.wikipedia.org//wiki/The_Hurt_Locker,False,"['PanamanianJamaicanAfricanCaribbean', 'German', 'English', 'Scottish', 'Swedish', 'Irish']"
2010,Colin Firth,King George VI,The King's Speech,https://en.wikipedia.org//wiki/The_King%27s_Speech,True,"['English', 'Scottish', 'UlsterScotsNorthern', 'Irish']"
2010,Javier Barde,Uxbal,Biutiful,https://en.wikipedia.org//wiki/Biutiful,False,"['Spanish', 'Castilian', 'Leónese', 'Basque', 'Catalan', 'British', 'Isles', 'Irish', 'English']"
2010,Jeff Bridge,"Reuben ""Rooster"" Cogburn",True Grit,https://en.wikipedia.org//wiki/True_Grit_(2010_film),False,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
2010,Jesse Eisenber,Mark Zuckerberg,The Social Network,https://en.wikipedia.org//wiki/The_Social_Network,False,"['Ashkenazi', 'Jewish']"
2010,James Franc,Aron Ralston,127 Hours,https://en.wikipedia.org//wiki/127_Hours,False,"['AfricanAmerican', 'Native', 'American']"
2011,Jean Dujardin,George Valentin,The Artist,https://en.wikipedia.org//wiki/The_Artist_(film),True,['French']
2011,Demián Bichi,Carlos Galindo,A Better Life,https://en.wikipedia.org//wiki/A_Better_Life,False,[]
2011,George Cloone,Matthew King,The Descendants,https://en.wikipedia.org//wiki/The_Descendants,False,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2011,Gary Oldma,George Smiley,Tinker Tailor Soldier Spy,https://en.wikipedia.org//wiki/Tinker_Tailor_Soldier_Spy_(film),False,"['English', 'Irish']"
2011,Brad Pit,Billy Beane,Moneyball,https://en.wikipedia.org//wiki/Moneyball_(film),False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
2012,Daniel Day-Lewis,Abraham Lincoln,Lincoln,https://en.wikipedia.org//wiki/Abraham_Lincoln,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2012,Bradley Coope,"Patrizio ""Pat"" Solitano, Jr.",Silver Linings Playbook,https://en.wikipedia.org//wiki/Silver_Linings_Playbook,False,['Italian']
2012,Hugh Jackma,Jean Valjean,Les Misérables,https://en.wikipedia.org//wiki/Les_Mis%C3%A9rables_(2012_film),False,"['English25', 'Scottish125', 'Greek']"
2012,Joaquin Phoeni,Freddie Quell,The Master,https://en.wikipedia.org//wiki/The_Master_(2012_film),False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2012,Denzel Washingto,"William ""Whip"" Whitaker, Sr.",Flight,https://en.wikipedia.org//wiki/Flight_(2012_film),False,['AfricanAmerican']
2013,Matthew McConaughey,Ron Woodroof,Dallas Buyers Club,https://en.wikipedia.org//wiki/Dallas_Buyers_Club,True,"['Irish', 'English', 'Scottish', 'German', 'Swedish', 'Welsh']"
2013,Christian Bal,Irving Rosenfeld,American Hustle,https://en.wikipedia.org//wiki/American_Hustle,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2013,Bruce Der,"Woodrow ""Woody"" Grant",Nebraska,https://en.wikipedia.org//wiki/Nebraska_(film),False,"['German', 'English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Dutch', 'Welsh']"
2013,Leonardo DiCapri,Jordan Belfort,The Wolf of Wall Street,https://en.wikipedia.org//wiki/The_Wolf_of_Wall_Street_(2013_film),False,"['German', 'German', 'Russian']"
2013,Chiwetel Ejiofo,Solomon Northup,12 Years a Slave,https://en.wikipedia.org//wiki/12_Years_a_Slave_(film),False,"['Igbo', 'Nigerian']"
2014,Eddie Redmayne,Stephen Hawking,The Theory of Everything,https://en.wikipedia.org//wiki/The_Theory_of_Everything_(2014_film),True,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2014,Steve Carel,John du Pont,Foxcatcher,https://en.wikipedia.org//wiki/Foxcatcher,False,"['German', 'Polish']"
2014,Bradley Coope,Chris Kyle,American Sniper,https://en.wikipedia.org//wiki/American_Sniper,False,['Italian']
2014,Benedict Cumberbatc,Alan Turing,The Imitation Game,https://en.wikipedia.org//wiki/The_Imitation_Game,False,"['English', 'Welsh', 'Scottish', 'Cornish', 'French', 'SwissFrench', 'Swedish', 'German', 'Dutch']"
2014,Michael Keato,Riggan Thomson,Birdman,https://en.wikipedia.org//wiki/Birdman_(film),False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Irish']"
2015,Leonardo DiCaprio,Hugh Glass,The Revenant,https://en.wikipedia.org//wiki/The_Revenant_(2015_film),True,"['German', 'German', 'Russian']"
2015,Bryan Cransto,Dalton Trumbo,Trumbo,https://en.wikipedia.org//wiki/Dalton_Trumbo,False,"['German', 'SwissGerman25', 'IrishNorthern', 'Irish125', 'Ashkenazi', 'Jewish']"
2015,Matt Damo,Mark Watney,The Martian,https://en.wikipedia.org//wiki/The_Martian_(film),False,"['Scottish', 'Welsh', 'Finnish', 'Swedish', 'Norwegian']"
2015,Michael Fassbende,Steve Jobs,Steve Jobs,https://en.wikipedia.org//wiki/Steve_Jobs,False,['Irish']
2015,Eddie Redmayn,Lili Elbe,The Danish Girl,https://en.wikipedia.org//wiki/The_Danish_Girl_(film),False,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2016,Casey Affleck,Lee Chandler,Manchester by the Sea,https://en.wikipedia.org//wiki/Manchester_by_the_Sea_(film),True,"['English', 'Irish', 'German', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'French', 'SwissGerman', 'Swedish', 'Welsh']"
2016,Andrew Garfiel,Desmond Doss,Hacksaw Ridge,https://en.wikipedia.org//wiki/Hacksaw_Ridge,False,"['Jewish', 'English']"
2016,Ryan Goslin,Sebastian Wilder,La La Land,https://en.wikipedia.org//wiki/La_La_Land_(film),False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2016,Viggo Mortense,Ben Cash,Captain Fantastic,https://en.wikipedia.org//wiki/Captain_Fantastic_(film),False,"['English', 'Scottish']"
2016,Denzel Washingto,Troy Maxson,Fences,https://en.wikipedia.org//wiki/Fences_(film),False,['AfricanAmerican']
2017,Gary Oldman,Winston Churchill,Darkest Hour,https://en.wikipedia.org//wiki/Darkest_Hour_(film),True,"['English', 'Irish']"
2017,Timothée Chalame,Elio Perlman,Call Me by Your Name,https://en.wikipedia.org//wiki/Call_Me_by_Your_Name_(film),False,[]
2017,Daniel Day-Lewi,Reynolds Woodcock,Phantom Thread,https://en.wikipedia.org//wiki/Phantom_Thread,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2017,Daniel Kaluuy,Chris Washington,Get Out,https://en.wikipedia.org//wiki/Get_Out,False,['Ugandan']
2017,Denzel Washingto,Roman J. Israel,"Roman J. Israel, Esq.","https://en.wikipedia.org//wiki/Roman_J._Israel,_Esq.",False,['AfricanAmerican']
2018,Rami Malek,Freddie Mercury,Bohemian Rhapsody,https://en.wikipedia.org//wiki/Bohemian_Rhapsody_(film),True,"['Egyptian125', 'Greek']"
2018,Christian Bal,Dick Cheney,Vice,https://en.wikipedia.org//wiki/Vice_(2018_film),False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2018,Bradley Coope,Jackson Maine,A Star Is Born,https://en.wikipedia.org//wiki/A_Star_Is_Born_(2018_film),False,['Italian']
2018,Willem Dafo,Vincent van Gogh,At Eternity's Gate,https://en.wikipedia.org//wiki/At_Eternity%27s_Gate_(film),False,"['German', 'English', 'Irish', 'Northern', 'Irish', 'Scottish', 'SwissFrench', 'French']"
2018,Viggo Mortense,"Tony ""Lip"" Vallelonga",Green Book,https://en.wikipedia.org//wiki/Green_Book_(film),False,"['English', 'Scottish']"
2019,Joaquin Phoenix,Arthur Fleck / Joker,Joker,https://en.wikipedia.org//wiki/Joker_(character),True,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2019,Antonio Bandera,Salvador Mallo,Pain and Glory,https://en.wikipedia.org//wiki/Pain_and_Glory,False,['Spanish']
2019,Leonardo DiCapri,Rick Dalton,Once Upon a Time in Hollywood,https://en.wikipedia.org//wiki/Once_Upon_a_Time_in_Hollywood,False,"['German', 'German', 'Russian']"
2019,Adam Drive,Charlie Barber,Marriage Story,https://en.wikipedia.org//wiki/Marriage_Story,False,"['English', 'DutchFrisian', 'German', 'Irish', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'French', 'Swedish']"
2019,Jonathan Pryc,Cardinal Jorge Mario Bergoglio,The Two Popes,https://en.wikipedia.org//wiki/The_Two_Popes,False,['Welsh']
