3 Ring Circus,"['Dean Martin', ' Jerry Lewis', ' Zsa Zsa Gabor', ' Joanne Dru']",['Musical comedy']
There's No Business Like Show Business,"['Ethel Merman', "" Donald O'Connor"", ' Marilyn Monroe', ' Mitzi Gaynor', ' Dan Dailey', ' Johnnie Ray']",['Musical']
They Rode West,"['Robert Francis', ' Donna Reed', ' Philip Carey']",['Western']
They Were So Young,"['Raymond Burr', ' Scott Brady', ' Johanna Matz']",['Drama']
This Is My Love,"['Linda Darnell', ' Faith Domergue']",['Drama']
Three Coins in the Fountain,"['Clifton Webb', ' Dorothy McGuire', ' Jean Peters', ' Rossano Brazzi']",['Drama']
Three Hours to Kill,"['Dana Andrews', ' Donna Reed']",['Western']
Three Young Texans,"['Jeffrey Hunter', ' Keefe Brasselle', ' Mitzi Gaynor']",['Western']
Tobor the Great,"['Charles Drake', ' Steven Geray']",['Sci-fi']
Top Banana,"['Phil Silvers', ' Rose Marie']",['Musical']
Track of the Cat,"['Robert Mitchum', ' Teresa Wright']",['Adventure']
Untamed Heiress,"['Judy Canova', ' George Cleveland']",['Comedy']
Trader Tom of the China Seas,"['Harry Lauter', ' Lyle Talbot']",['Serial']
Two Guns and a Badge,"['Wayne Morris', ' Beverly Garland']",['Western']
Valley of the Kings,"['Robert Taylor', ' Eleanor Parker']",['Adventure']
The Vanishing Prairie,[''],['Documentary']
Vera Cruz,"['Gary Cooper', ' Burt Lancaster', ' Ernest Borgnine', ' Cesar Romero', ' Sara Montiel', ' Denise Darcel']",['Western']
War Arrow,"[""Maureen O'Hara"", ' Jeff Chandler']",['Western']
White Christmas,"['Rosemary Clooney', ' Bing Crosby', ' Danny Kaye', ' Vera-Ellen', ' Dean Jagger']",['Musical']
The White Orchid,"['William Lundigan', ' Peggie Castle']",['Adventure']
Witness to Murder,"['Barbara Stanwyck', ' George Sanders']",['Suspense']
Woman's World,"['Clifton Webb', ' June Allyson', ' Van Heflin']",['Drama']
World for Ransom,"['Dan Duryea', ' Gene Lockhart']",['Drama']
Wyoming Renegades,"['Phil Carey', ' Gene Evans', ' Martha Hyer']",['Western']
Yankee Pasha,"['Rhonda Fleming', ' Jeff Chandler']",['Adventure']
The Yellow Mountain,"['Lex Barker', ' Mala Powers', ' Howard Duff']",['Western']
The Yellow Tomahawk,"['Rory Calhoun', ' Peggie Castle']",['Western']
Young at Heart,"['Doris Day', ' Frank Sinatra']","['Musical', ' Drama']"
Yukon Vengeance,"['Kirby Grant', ' Mary Ellen Kay']",['Adventure']
