Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Laddie,"['Tim Holt', ' Virginia Gilmore']",['Drama']
Ladies Must Live,"['Rosemary Lane', ' Wayne Morris']",['Comedy']
The Lady in Question,"['Glenn Ford', ' Rita Hayworth']",['Comedy']
Lady with Red Hair,"['Miriam Hopkins', ' Claude Rains', ' Richard Ainley']",['Drama']
Law and Order,['Johnny Mack Brown'],['Western']
Legion of the Lawless,"[""George O'Brien"", ' Virginia Vale']",['Western']
The Letter,"['Bette Davis', ' Herbert Marshall', ' James Stephenson']",['Film noir']
The Light That Failed,"['Ronald Colman', ' Walter Huston', ' Ida Lupino']",['Drama']
Lillian Russell,"['Alice Faye', ' Don Ameche', ' Henry Fonda']",['Biographical']
A Little Bit of Heaven,"['Gloria Jean', ' Hugh Herbert', ' Robert Stack']",['Musical']
Little Men,"['Kay Francis', ' Jack Oakie', ' Ann Gillis']",['Drama']
Little Nellie Kelly,"['Judy Garland', ' George Murphy']",['Musical comedy']
Little Old New York,"['Fred MacMurray', ' Alice Faye', ' Brenda Joyce']",['Drama']
The Lone Ranger,"['Lee Powell', ' Chief Thundercloud', ' Stanley Andrews']",['Western']
The Lone Wolf Meets a Lady,"['Warren William', ' Jean Muir']",['Mystery']
The Long Voyage Home,"['John Wayne', ' Thomas Mitchell', ' Ian Hunter']",['War Drama']
Love Thy Neighbor,"['Jack Benny', ' Fred Allen', ' Mary Martin']",['Comedy']
Lucky Cisco Kid,"['Cesar Romero', ' Mary Beth Hughes']",['Western']
Lucky Partners,"['Ronald Colman', ' Ginger Rogers', ' Jack Carson']",['Romantic comedy']
Maisie Was a Lady,"['Ann Sothern', ' Lew Ayres']",['Comedy']
The Man from Dakota,"['Wallace Beery', ' Dolores del Río']",['Historical Drama']
Manhattan Heartbeat,"['Robert Sterling', ' Virginia Gilmore']",['Drama']
The Man I Married,"['Joan Bennett', ' Francis Lederer']",['Drama']
The Man Who Wouldn't Talk,"['Lloyd Nolan', ' Jean Rogers']",['Mystery']
The Man with Nine Lives,['Boris Karloff'],['HorrorSci-fi']
The Marines Fly High,"['Richard Dix', ' Chester Morris', ' Lucille Ball']",['Adventure']
The Mark of Zorro,"['Tyrone Power', ' Linda Darnell', ' Basil Rathbone']",['Adventure']
Marked Men,"['Warren Hull', ' Isabel Jewell']",['Drama']
Married and in Love,"['Barbara Read', ' Helen Vinson']",['Drama']
Maryland,"['Walter Brennan', ' Fay Bainter']",['Drama']
Meet the Wildcat,"['Ralph Bellamy', ' Margaret Lindsay']",['Drama']
Melody and Moonlight,"['Jane Frazee', ' Johnny Downs']",['Comedy']
Melody Ranch,"['Gene Autry', ' Jimmy Durante', ' Ann Miller']",['Western']
Mexican Spitfire,"['Lupe Vélez', ' Leon Errol']",['Comedy']
"Michael Shayne, Private Detective","['Lloyd Nolan', ' Marjorie Weaver']",['Mystery']
The Milky Way,['Bernice Hansen'],['Animated Short']
Millionaire Playboy,"['Joe Penner', ' Russ Brown']",['Comedy']
Millionaires in Prison,"['Lee Tracy', ' Linda Hayes']",['Drama']
Misbehaving Husbands,"['Betty Blythe', ' Harry Langdon']",['Comedy']
Money and the Woman,"['Jeffrey Lynn', ' Brenda Marshall']",['Drama']
Moon Over Burma,"['Dorothy Lamour', ' Robert Preston']",['Romance']
The Mortal Storm,"['James Stewart', ' Margaret Sullavan', ' Robert Young', ' Frank Morgan']",['Drama']
Mr. Duck Steps Out,[''],['Animated Short']
The Mummy's Hand,"['Dick Foran', ' Peggy Moran']",['Horror']
Murder in the Air,"['Ronald Reagan', ' John Litel', ' Lya Lys']",['Drama']
Murder Over New York,"['Sidney Toler', ' Ricardo Cortez', ' Marjorie Weaver']",['Mystery']
Music in My Heart,"['Tony Martin', ' Rita Hayworth', ' Edith Fellows']",['Musical']
My Favorite Wife,"['Irene Dunne', ' Cary Grant', ' Randolph Scott']",['Screwball comedy']
My Little Chickadee,"['Mae West', ' W. C. Fields']",['Comedy']
